Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
16,Nor Ra,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,8329,1410.22,451.05,2.83,68.28,10660,8°C,Prague (Czechia),,,,,plaza,,,{t1:vert;charges:[{charge:horseshoe;t:or;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Nor+Ra&population=8329&size=29&seed=7742447050016&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
17,Fenit,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,town,6927,546.46,375.63,14.4,-64.19,4738,18°C,Barcelona (Spain),,,,,plaza,,,{t1:purpure;division:{division:perSaltire;t:or};ordinaries:[{ordinary:pile;t:argent;divided:division}];shield:round},https://watabou.github.io/city-generator/?name=Fenit&population=6927&size=27&seed=7742447050017&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
18,Dunscom,,,Quaspia,Quaspia,Wildlands,Soumi Shamanism,village,1704,1326.66,236.86,35.68,55.47,1890,5°C,Harbin (China),,,,,plaza,,,{t1:or;charges:[{charge:bell;t:vert;p:e;t2:vert;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1704&name=Dunscom&seed=7742447050018&width=1600&height=780&style=snow&tags=highway%2Cfarmland%2Cdense
19,Olayn,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,town,4537,199.09,217.31,38.67,-117.47,738,6°C,Stockholm (Sweden),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:orle;t:gules}];shield:round},https://watabou.github.io/city-generator/?name=Olayn&population=4537&size=23&seed=7742447050019&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
20,Rikil,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Astellian Spirits,city,19722,221.83,751.15,-43.19,-113.98,30,6°C,Stockholm (Sweden),,port,,walls,plaza,,,{t1:argent;charges:[{charge:drakkar;t:sable;p:e;t2:azure;t3:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Rikil&population=19722&size=40&seed=7742447050020&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.27
21,Torohal,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,town,6974,62.5,268.58,30.81,-138.41,13,12°C,Paris (France),,port,,,plaza,,,{t1:azure;ordinaries:[{ordinary:cross;t:argent;line:arched}];charges:[{charge:inescutcheon;t:or;p:acgi;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Torohal&population=6974&size=27&seed=7742447050021&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.49
22,Atatahl,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,city,17642,1741.23,618.19,-22.8,119.05,13,24°C,Dakar (Senegal),,,citadel,walls,plaza,,,{t1:vert;ordinaries:[{ordinary:orle;t:argent}];charges:[{charge:tower;t:argent;p:e;t2:argent;size:1.1}];shield:round},https://watabou.github.io/city-generator/?name=Atatahl&population=17642&size=38&seed=7742447050022&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
23,Zipili,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,village,1509,533.91,539.19,-10.69,-66.12,52,28°C,Bangkok (Thailand),,port,citadel,,plaza,,,{t1:or;division:{division:perFess;t:purpure;line:engrailed};ordinaries:[{ordinary:fess;t:gules;line:nowyReversed}];charges:[{charge:billet;t:or;p:e;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=1509&name=Zipili&seed=7742447050023&width=1600&height=780&style=default&tags=coast%2Chighway%2Cdense
24,Whitnescom,,,Bakuna,Bakuna's Territories,Wildlands,Shwazen Beliefs,town,3180,407.07,375.65,14.39,-85.57,840,25°C,Miami (USA),,,,,plaza,,,{t1:purpure;division:{division:perCross;t:or;line:engrailed};charges:[{charge:heart;t:argent;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Whitnescom&population=3180&size=20&seed=7742447050024&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
25,Chishole,,,Bakuna,Bakuna's Territories,Wildlands,Astellian Spirits,village,1247,348.3,506.68,-5.7,-94.58,948,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:argent;charges:[{charge:crossSaltire;t:azure;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1247&name=Chishole&seed=7742447050025&width=1400&height=683&style=default&tags=dead+end%2Cdense
26,Bital,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,village,1886,279.2,332.79,20.97,-105.18,2572,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:mullet6;t:argent;p:acgi;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=1886&name=Bital&seed=7742447050026&width=1600&height=780&style=default&tags=river%2Chighway%2Cfarmland%2Cdense
27,Doban,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,6605,1123.55,219.86,38.28,24.32,52,7°C,Montreal (Canada),,,,,plaza,,,{t1:lozengy-sable-argent;division:{division:perBend;t:or;line:straight};charges:[{charge:escallop;t:gules;p:l;size:0.7};{charge:angel;t:gules;p:m;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Doban&population=6605&size=26&seed=7742447050027&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
28,Sor Gal,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,6660,1773.61,384.05,13.1,124.01,52,27°C,Mogadishu (Somalia),,port,,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:chevron;t:or}];shield:round},https://watabou.github.io/city-generator/?name=Sor+Gal&population=6660&size=27&seed=7742447050028&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
29,Sor Iliri,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,9041,1500.92,347.23,18.75,82.19,1312,21°C,Tegucigalpa (Honduras),,,,,plaza,,,{t1:argent;charges:[{charge:hook;t:gules;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Sor+Iliri&population=9041&size=30&seed=7742447050029&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
30,Otoxo,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,village,1716,1253.01,636.13,-25.55,44.17,2572,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:purpure;charges:[{charge:horseshoe;t:or;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1716&name=Otoxo&seed=7742447050030&width=1600&height=780&style=default&tags=dead+end%2Cdense
31,Sori,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Astellian Spirits,village,824,554.68,789,-49,-62.93,118,0°C,Murmansk (Russia),,,,,plaza,,,{t1:masoned-gules-argent;ordinaries:[{ordinary:point;t:or}];charges:[{charge:salmon;t:or;p:bdf;t2:or;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=824&name=Sori&seed=7742447050031&width=1000&height=488&style=snow&tags=river%2Cdead+end%2Cuncultivated%2Cno+orchards%2Cdense
32,Byirikil,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,10084,1584.19,613.28,-22.05,94.96,1588,21°C,Tegucigalpa (Honduras),,,,,plaza,,,{t1:vert;charges:[{charge:crossSaltire;t:or;p:jln;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Byirikil&population=10084&size=31&seed=7742447050032&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
33,Chawbuse,,,Bakuna,Bakuna's Territories,Wildlands,Shwazen Beliefs,town,10365,34.23,455.36,2.17,-142.75,13,29°C,Niamey (Niger),,port,,,plaza,,,{t1:tenné;ordinaries:[{ordinary:fess;t:argent;line:engrailed}];charges:[{charge:gear;t:tenné;p:def;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Chawbuse&population=10365&size=31&seed=7742447050033&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.32
34,Boha,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,6346,1055.8,615.47,-22.39,13.93,397,23°C,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:chief;t:gules;line:nebuly}];shield:round},https://watabou.github.io/city-generator/?name=Boha&population=6346&size=26&seed=7742447050034&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
35,Basilia,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,city,30639,1050.27,471.55,-0.31,13.08,52,29°C,Niamey (Niger),,port,citadel,walls,plaza,temple,shanty town,{t1:azure;ordinaries:[{ordinary:cross;t:argent;line:engrailed}];charges:[{charge:scorpion;t:argent;p:acgi;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Basilia&population=30639&size=47&seed=7742447050035&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=0.93
36,Demularial's,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3327,1378.36,461.19,1.27,63.4,8872,11°C,Antwerp (Belgium),,,,,,,,{t1:sable;ordinaries:[{ordinary:cross;t:or;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Demularial%27s&population=3327&size=20&seed=7742447050036&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
37,Xain's Hold,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,6128,368.14,655.78,-28.57,-91.54,472,19°C,Marrakesh (Morocco),,,,,,,,{t1:argent;charges:[{charge:cancer;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Xain%27s+Hold&population=6128&size=26&seed=7742447050037&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
38,Lapalagal,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,town,5193,1273.95,231.77,36.46,47.38,738,8°C,Prague (Czechia),,port,,,,,,{t1:gules;ordinaries:[{ordinary:bendSinister;t:or;line:straight}];charges:[{charge:mullet6;t:sable;p:lem;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lapalagal&population=5193&size=24&seed=7742447050038&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
39,Quinisz,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,5244,1748.02,438.42,4.77,120.09,30,29°C,Niamey (Niger),,,,,,,,{t1:argent;division:{division:perPale;t:vairInPale-purpure-or;line:wavy};charges:[{charge:mullet6Faceted;t:sable;p:p;size:0.7};{charge:fusil;t:argent;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Quinisz&population=5244&size=24&seed=7742447050039&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
40,Anizantiama,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2239,1367.48,419.25,7.71,61.73,2572,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:purpure;ordinaries:[{ordinary:chief;t:argent;line:engrailed}];charges:[{charge:griffinRampant;t:azure;p:abc;t2:azure;t3:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Anizantiama&population=2239&size=18&seed=7742447050040&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
41,Parga's Hold,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,15324,541.86,602.94,-20.46,-64.9,161,27°C,Mogadishu (Somalia),,,citadel,walls,,,,{t1:argent;division:{division:chevronny;t:purpure};charges:[{charge:lionSejant;t:gules;p:e;t2:azure;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Parga%27s+Hold&population=15324&size=36&seed=7742447050041&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
42,Hila'lod,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,11772,1361.69,769.02,-45.93,60.84,118,4°C,Reykjavik (Iceland),,port,,,,,,{t1:grillage-azure-argent;division:{division:perFess;t:or;line:straight};ordinaries:[{ordinary:pale;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Hila%27lod&population=11772&size=33&seed=7742447050042&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.92
43,Hami'stead,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1942,591.6,299.18,26.12,-57.27,210,17°C,Lisbon (Portugal),,port,,walls,,,,{t1:gules;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:roundel2;t:gules;p:ABCDEFGHIJKL;t2:gules;t3:gules;size:0.18};{charge:dolphin;t:argent;p:e;size:1.1}];shield:heater},https://watabou.github.io/village-generator/?pop=1942&name=Hami%27stead&seed=7742447050043&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cpalisade%2Cdense
44,Baridemurat,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2213,1714.37,629.47,-24.53,114.93,13,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:azure;line:straight}];charges:[{charge:scrollClosed;t:argent;p:beh;t2:argent;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Baridemurat&population=2213&size=18&seed=7742447050044&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
45,Szipog,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,2745,473.32,642.5,-26.53,-75.41,397,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:sable;ordinaries:[{ordinary:fessDoubleCotissed;t:argent;line:barby}];charges:[{charge:shears;t:gules;p:def;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Szipog&population=2745&size=19&seed=7742447050045&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
46,Braswariava,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,2380,582.42,264.26,31.47,-58.68,161,12°C,Paris (France),,port,,,,,,{t1:gules;division:{division:perPale;t:semy_of_mullet-argent-purpure;line:potenty};charges:[{charge:inescutcheon;t:or;p:pq;size:0.7};{charge:eagle;t:gules;p:pq;size:0.35}];shield:heater},https://watabou.github.io/city-generator/?name=Braswariava&population=2380&size=18&seed=7742447050046&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.23
47,Balino,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,30558,1549.21,371.34,15.05,89.6,1447,24°C,Dakar (Senegal),,port,citadel,walls,,temple,,{t1:purpure;division:{division:perPale;t:or;line:straight};charges:[{charge:crossMaltese;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Balino&population=30558&size=47&seed=7742447050047&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=1&walls=1&shantytown=0&style=natural&sea=0.65
48,Nokal-Yitri,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,town,8881,1280.46,246.15,34.25,48.38,840,9°C,Copenhagen (Denmark),,port,,,,,,{t1:argent;charges:[{charge:monk;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nokal-Yitri&population=8881&size=30&seed=7742447050048&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
49,Ya-Tu,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,No religion,city,20018,1607.26,274.59,29.89,98.5,948,13°C,Milan (Italy),,,citadel,walls,,temple,,{t1:vert;charges:[{charge:griffinRampant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ya-Tu&population=20018&size=40&seed=7742447050049&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=0&style=natural
50,Lodiasiaria,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,village,1818,1724.54,278.08,29.36,116.49,118,15°C,Rome (Italy),,,,,,,,{t1:chequy-or-purpure;division:{division:perCross;t:vert;line:straight};ordinaries:[{ordinary:pileInBendSinister;t:gules}];shield:heater},https://watabou.github.io/village-generator/?pop=1818&name=Lodiasiaria&seed=7742447050050&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
51,Szaldengada,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,13593,460.63,625.59,-23.94,-77.35,328,22°C,Guangzhou (China),,port,,walls,,,,{t1:sable;ordinaries:[{ordinary:quarter;t:or}];charges:[{charge:roundel;t:sable;p:j;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Szaldengada&population=13593&size=35&seed=7742447050051&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
52,Zisan,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,10177,1116.3,644.8,-26.88,23.2,643,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:vair-azure-argent;division:{division:perSaltire;t:or};ordinaries:[{ordinary:chief;t:sable;line:straight}];charges:[{charge:bridge;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zisan&population=10177&size=31&seed=7742447050052&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
